Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
WAR-XCH-79d12f6e-6,3.0,33796.15030255664,4.281458763244388,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,3.0,33818.35783616286,652.8181909533564,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,3.0,34034.33379427475,1651.4274574106191,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,3.0,34091.205599790985,16.825730627420988,34090.632000000034,1,23.864785400505074
WAR-XCH-79d12f6e-6,3.0,34110.92919052555,595.3890947377588,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.0,33811.116401818676,438.5510843316069,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,60.0,33828.399026540785,949.9273970933803,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,60.0,34077.148593874364,395.51646111077383,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.0,34090.82934736642,5.788903132957301,34090.632000000034,1,95.80162059680346
WAR-XCH-79d12f6e-6,60.0,34111.998704929596,626.7617722534977,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.0,34132.942630402176,1241.1219129684096,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.0,34421.76612006843,1070.1513230503967,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,60.0,34505.52120137713,3505.956378122569,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,180.0,33829.27502647676,975.847396193146,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,180.0,34046.336344330535,1299.3497940870946,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.0,34073.6089149247,499.34788757615195,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.0,34091.15645123226,15.384027853289334,34090.632000000034,1,91.45138205033822
WAR-XCH-79d12f6e-6,180.0,34100.99370673834,303.94586812908847,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.0,34129.80129166042,1148.975227575307,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.0,34421.63441925515,1066.3211374456691,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,180.0,34503.97873710736,3461.097699617756,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,3.48,33796.20909959286,2.541710775555686,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,3.48,33816.47550210691,597.1217290792418,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,3.48,34089.769954802265,25.28686466620727,34090.632000000034,1,25.616314111205757
WAR-XCH-79d12f6e-6,3.48,34214.11571857184,3622.218519498435,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,33795.0985019357,35.40323175459128,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,60.47,33810.07219374306,407.6539674843794,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,60.47,33827.41693566048,920.8682685616504,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,60.47,34046.52015546803,1293.9579568956813,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,34072.66111653164,527.1501997496418,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,34091.05867265742,12.51583301196022,34090.632000000034,1,97.2590435626732
WAR-XCH-79d12f6e-6,60.47,34098.118983988796,219.61998207488458,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,34111.73969272019,619.1640190230994,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,34136.57871514703,1347.7812657446286,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,34156.421729523885,1929.847751835483,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,60.47,34421.8159356089,1071.600082258851,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,60.47,34506.521275918785,3535.041020940034,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,180.47,33829.18363357876,973.1431678746046,33796.295000000035,0,0.0
WAR-XCH-79d12f6e-6,180.47,34073.61950054323,499.03737357533237,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.47,34091.15438513384,15.323421807161305,34090.632000000034,1,90.17546448256986
WAR-XCH-79d12f6e-6,180.47,34111.636957420276,616.1504257310957,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.47,34121.579146614306,907.7903458718894,34090.632000000034,1,0.0
WAR-XCH-79d12f6e-6,180.47,34421.59411945801,1065.1491196043964,34384.969000000034,2,0.0
WAR-XCH-79d12f6e-6,180.47,34502.09886813339,3406.4264572510524,34384.969000000034,2,0.0
