,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,33795.83442674238,33796.295000000035,0,13.627921571073621,0.0
1,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,34062.84630564767,34062.600000000035,1,7.230970261623073,73.86429289700853
2,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,34503.69959817616,34595.210000000036,2,2645.1754975292233,0.0
3,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,35456.687346495164,35394.12500000004,3,1767.591273837894,0.0
4,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,36778.22404164443,36459.34500000004,4,8746.153877542096,0.0
5,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,36778.22404164443,37790.87000000004,5,26796.04778497042,0.0
6,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,33797.71347403827,33796.295000000035,0,41.971288220599234,0.0
7,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34063.00155833445,34062.600000000035,1,11.788833923872883,99.0831365580007
8,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34501.83805642252,34595.210000000036,2,2698.984731629401,0.0
9,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,35109.33237448717,35394.12500000004,3,8046.3247929668905,0.0
10,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,36741.58916180019,36459.34500000004,4,7741.339341125126,0.0
11,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,37800.0528530453,37790.87000000004,5,242.9913110034819,0.0
12,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,39281.544917728155,39388.70000000004,6,2720.452370143858,0.0
13,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,33795.73037657059,33796.295000000035,0,16.706666498420528,0.0
14,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,34062.875955699135,34062.600000000035,1,8.101427932701846,99.18845514928884
15,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,34522.35869226245,34595.210000000036,2,2105.8206537142787,0.0
16,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,35100.03480547641,35394.12500000004,3,8309.011580979195,0.0
17,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,36844.54288797174,36459.34500000004,4,10565.134616974017,0.0
18,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,38217.35886531057,37790.87000000004,5,11285.500050952242,0.0
19,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,39612.757397354006,39388.70000000004,6,5688.367408773701,0.0
