,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.33,33796.054259091994,33796.295000000035,0,7.123292894697677,0.0
1,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.33,34161.896836960754,34161.77200000003,1,3.654288211985346,37.4983704985093
2,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.33,34915.32926782498,34892.72600000003,2,647.7931195443614,0.0
3,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.33,35722.15905916075,35989.15700000003,3,7418.843982349332,0.0
4,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.33,37478.34529211695,37451.06500000003,4,728.4250025178306,0.0
5,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.33,39182.524988459765,39278.45000000003,5,2442.179147605576,0.0
6,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.35,33796.86360281245,33796.295000000035,0,16.824412629202342,0.0
7,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.35,34161.990323089056,34161.77200000003,1,6.390859614141373,88.9414540520061
8,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.35,34878.24216605144,34892.72600000003,2,415.0960847425362,0.0
9,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.35,35949.53107274497,35989.15700000003,3,1101.0518322243452,0.0
10,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.35,37321.115688070495,37451.06500000003,4,3469.8428984472544,0.0
11,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.35,39226.47389697678,39278.45000000003,5,1323.2727621190447,0.0
12,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.35,33798.026303223814,33796.295000000035,0,51.227604202763374,0.0
13,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.35,34162.13126804934,34161.77200000003,1,10.516669021423153,96.26235498830602
14,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.35,34876.83800635897,34892.72600000003,2,455.33827425978194,0.0
15,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.35,35947.59082017322,35989.15700000003,3,1154.9639750329438,0.0
16,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.35,37320.972810233055,37451.06500000003,4,3473.657952503509,0.0
17,27_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.35,39271.20718267996,39278.45000000003,5,184.3967193225576,0.0
