,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,37_positive control : ebselen,positive control : ebselen,24.21,33796.14757774542,33796.295000000035,0,4.3620833176147125,0.0
1,37_positive control : ebselen,positive control : ebselen,24.21,34071.50452291895,34068.47600000003,1,88.89516862795932,0.0
2,37_positive control : ebselen,positive control : ebselen,24.21,34291.676539479326,34612.83800000003,2,9278.680370581187,0.0
3,37_positive control : ebselen,positive control : ebselen,24.21,35367.79207798591,35429.38100000003,3,1738.3572694684658,0.0
4,37_positive control : ebselen,positive control : ebselen,24.21,35367.79207798591,36518.10500000003,4,31499.797758238525,0.0
5,37_positive control : ebselen,positive control : ebselen,24.21,39778.552722411856,37879.01000000003,5,50147.633805947495,0.0
6,37_positive control : ebselen,positive control : ebselen,24.21,39778.552722411856,39512.096000000034,6,6743.674706900429,0.0
7,37_positive control : ebselen,positive control : ebselen,81.23,33796.25985176282,33796.295000000035,0,1.0400026752469214,0.0
8,37_positive control : ebselen,positive control : ebselen,81.23,34071.53787941986,34068.47600000003,1,89.87427027351619,0.0
9,37_positive control : ebselen,positive control : ebselen,81.23,34731.0154203796,34612.83800000003,2,3414.265550243663,0.0
10,37_positive control : ebselen,positive control : ebselen,81.23,35717.06729454595,35429.38100000003,3,8119.992120266546,0.0
11,37_positive control : ebselen,positive control : ebselen,81.23,36737.9768706174,36518.10500000003,4,6020.900334707058,0.0
12,37_positive control : ebselen,positive control : ebselen,81.23,37856.66324152766,37879.01000000003,5,589.9509641980977,0.0
13,37_positive control : ebselen,positive control : ebselen,81.23,39911.3544817758,39512.096000000034,6,10104.71531998117,0.0
14,37_positive control : ebselen,positive control : ebselen,201.24,33796.21215428631,33796.295000000035,0,2.4513253220497755,0.0
15,37_positive control : ebselen,positive control : ebselen,201.24,34072.04178885109,34068.47600000003,1,104.66534667008195,0.0
16,37_positive control : ebselen,positive control : ebselen,201.24,34696.02179234573,34612.83800000003,2,2403.2641399037743,0.0
17,37_positive control : ebselen,positive control : ebselen,201.24,35251.8318043411,35429.38100000003,3,5011.354718811825,0.0
18,37_positive control : ebselen,positive control : ebselen,201.24,36738.31733514702,36518.10500000003,4,6030.223505490912,0.0
19,37_positive control : ebselen,positive control : ebselen,201.24,37891.21816356071,37879.01000000003,5,322.2936280721428,0.0
20,37_positive control : ebselen,positive control : ebselen,201.24,39890.69852969513,39512.096000000034,6,9581.939912656042,0.0
