,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.8,33796.0275979941,33796.295000000035,0,7.912169246210412,0.0
1,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.8,34161.80428091409,34161.77200000003,1,0.9449426117641974,36.28069799176767
2,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.8,35038.4937657005,34892.72600000003,2,4177.597522775025,0.0
3,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.8,36443.51021551562,35989.15700000003,3,12624.725150288776,0.0
4,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.8,37612.41708255191,37451.06500000003,4,4308.34430347652,0.0
5,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,18.8,39223.609746971495,39278.45000000003,5,1396.1918820253443,0.0
6,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.82,33796.08701030739,33796.295000000035,0,6.154215799226877,0.0
7,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.82,34161.982091566635,34161.77200000003,1,6.149902487537148,87.83949843873205
8,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.82,34889.508663752385,34892.72600000003,2,92.20650308737741,0.0
9,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.82,35918.40498346876,35989.15700000003,3,1965.9259185000385,0.0
10,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.82,37320.77338772556,37451.06500000003,4,3478.982834652946,0.0
11,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,75.82,39224.43256060858,39278.45000000003,5,1375.243661383193,0.0
12,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.82,33796.9835907205,33796.295000000035,0,20.374739907532835,0.0
13,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.82,34161.86892794284,34161.77200000003,1,2.8373218698959164,97.59063359945289
14,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.82,34870.582980231564,34892.72600000003,2,634.6027469584238,0.0
15,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.82,36002.968857077554,35989.15700000003,3,383.7782884863326,0.0
16,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.82,37300.507685423814,37451.06500000003,4,4020.107694566688,0.0
17,28_LON-WEI-adc59df6-30,LON-WEI-adc59df6-30,195.82,39212.40220482887,39278.45000000003,5,1681.5275340846044,0.0
